date,temp_mean,city
2023-01-01,13.6,Paris
2023-01-02,10.8,Paris
2023-01-03,7.7,Paris
2023-01-04,11.7,Paris
2023-01-05,12.7,Paris
2023-01-06,11.3,Paris
2023-01-07,9.2,Paris
2023-01-08,9.4,Paris
2023-01-09,7.1,Paris
2023-01-10,7.1,Paris
2023-01-11,10.9,Paris
2023-01-12,11.0,Paris
2023-01-13,9.5,Paris
2023-01-14,10.6,Paris
2023-01-15,7.2,Paris
2023-01-16,5.3,Paris
2023-01-17,1.6,Paris
2023-01-18,1.4,Paris
2023-01-19,0.9,Paris
2023-01-20,1.7,Paris
2023-01-21,1.2,Paris
2023-01-22,0.5,Paris
2023-01-23,1.7,Paris
2023-01-24,1.3,Paris
2023-01-25,1.5,Paris
2023-01-26,2.1,Paris
2023-01-27,4.0,Paris
2023-01-28,2.5,Paris
2023-01-29,1.6,Paris
2023-01-30,5.5,Paris
2023-01-31,4.2,Paris
2023-02-01,7.7,Paris
2023-02-02,7.5,Paris
2023-02-03,8.4,Paris
2023-02-04,8.9,Paris
2023-02-05,6.8,Paris
2023-02-06,3.3,Paris
2023-02-07,1.9,Paris
2023-02-08,-0.1,Paris
2023-02-09,0.3,Paris
2023-02-10,4.8,Paris
2023-02-11,4.8,Paris
2023-02-12,7.4,Paris
2023-02-13,4.4,Paris
2023-02-14,4.0,Paris
2023-02-15,5.0,Paris
2023-02-16,7.7,Paris
2023-02-17,12.2,Paris
2023-02-18,11.0,Paris
2023-02-19,9.9,Paris
2023-02-20,5.9,Paris
2023-02-21,6.5,Paris
2023-02-22,8.5,Paris
2023-02-23,7.7,Paris
2023-02-24,6.8,Paris
2023-02-25,5.4,Paris
2023-02-26,2.2,Paris
2023-02-27,2.1,Paris
2023-02-28,1.6,Paris
2023-03-01,1.9,Paris
2023-03-02,2.8,Paris
2023-03-03,3.6,Paris
2023-03-04,3.0,Paris
2023-03-05,5.1,Paris
2023-03-06,4.9,Paris
2023-03-07,6.0,Paris
2023-03-08,10.0,Paris
2023-03-09,11.4,Paris
2023-03-10,8.1,Paris
2023-03-11,4.8,Paris
2023-03-12,10.7,Paris
2023-03-13,13.3,Paris
2023-03-14,8.6,Paris
2023-03-15,6.4,Paris
2023-03-16,9.9,Paris
2023-03-17,11.5,Paris
2023-03-18,11.4,Paris
2023-03-19,9.1,Paris
2023-03-20,8.0,Paris
2023-03-21,11.2,Paris
2023-03-22,10.8,Paris
2023-03-23,13.2,Paris
2023-03-24,12.6,Paris
2023-03-25,10.6,Paris
2023-03-26,9.6,Paris
2023-03-27,6.9,Paris
2023-03-28,7.1,Paris
2023-03-29,13.9,Paris
2023-03-30,14.1,Paris
2023-03-31,12.0,Paris
2023-04-01,10.6,Paris
2023-04-02,8.5,Paris
2023-04-03,7.7,Paris
2023-04-04,5.7,Paris
2023-04-05,6.8,Paris
2023-04-06,9.9,Paris
2023-04-07,9.3,Paris
2023-04-08,8.5,Paris
2023-04-09,10.0,Paris
2023-04-10,11.7,Paris
2023-04-11,10.4,Paris
2023-04-12,10.5,Paris
2023-04-13,8.2,Paris
2023-04-14,6.8,Paris
2023-04-15,9.1,Paris
2023-04-16,8.9,Paris
2023-04-17,8.4,Paris
2023-04-18,10.8,Paris
2023-04-19,12.5,Paris
2023-04-20,9.4,Paris
2023-04-21,7.5,Paris
2023-04-22,11.0,Paris
2023-04-23,11.4,Paris
2023-04-24,10.3,Paris
2023-04-25,8.6,Paris
2023-04-26,8.3,Paris
2023-04-27,12.8,Paris
2023-04-28,16.5,Paris
2023-04-29,12.4,Paris
2023-04-30,12.8,Paris
2023-05-01,12.5,Paris
2023-05-02,12.7,Paris
2023-05-03,13.3,Paris
2023-05-04,16.6,Paris
2023-05-05,15.0,Paris
2023-05-06,15.7,Paris
2023-05-07,15.4,Paris
2023-05-08,14.6,Paris
2023-05-09,14.2,Paris
2023-05-10,12.5,Paris
2023-05-11,12.3,Paris
2023-05-12,11.9,Paris
2023-05-13,14.7,Paris
2023-05-14,13.7,Paris
2023-05-15,11.7,Paris
2023-05-16,10.8,Paris
2023-05-17,11.6,Paris
2023-05-18,12.0,Paris
2023-05-19,13.6,Paris
2023-05-20,15.9,Paris
2023-05-21,16.8,Paris
2023-05-22,16.3,Paris
2023-05-23,14.9,Paris
2023-05-24,13.3,Paris
2023-05-25,15.3,Paris
2023-05-26,15.9,Paris
2023-05-27,17.5,Paris
2023-05-28,19.1,Paris
2023-05-29,18.3,Paris
2023-05-30,16.8,Paris
2023-05-31,19.0,Paris
2023-06-01,20.3,Paris
2023-06-02,15.4,Paris
2023-06-03,17.8,Paris
2023-06-04,19.7,Paris
2023-06-05,19.9,Paris
2023-06-06,19.3,Paris
2023-06-07,21.2,Paris
2023-06-08,21.4,Paris
2023-06-09,23.4,Paris
2023-06-10,23.0,Paris
2023-06-11,21.4,Paris
